PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2018,40,1.41846,1.42429,4857,3839,X,6300,1553,1290,17839,2565,1252483
National,X,2018,41,1.40418,1.48151,5307,4026,X,6250,1657,1321,18561,2609,1252846
National,X,2018,42,1.47401,1.59449,5582,4399,X,6799,1752,1398,19930,2586,1249933
National,X,2018,43,1.64257,1.72683,6242,4617,X,7478,1835,1444,21616,2646,1251776
National,X,2018,44,1.79275,1.84522,6864,4730,X,8285,1825,1450,23154,2633,1254812
National,X,2018,45,1.87043,1.93069,7504,4831,X,8448,1840,1450,24073,2645,1246860
National,X,2018,46,1.98387,2.09114,7805,5017,X,8050,1995,1480,24347,2631,1164292
National,X,2018,47,2.24169,2.41082,8598,5011,X,7193,2111,1699,24612,2586,1020898
National,X,2018,48,2.14883,2.25019,8885,6576,X,8787,2756,2076,29080,2640,1292335
National,X,2018,49,2.25531,2.30458,8803,5969,X,9269,2454,1861,28356,2633,1230419
National,X,2018,50,2.64571,2.73758,10150,6819,X,11373,2776,1980,33098,2622,1209022
National,X,2018,51,3.14075,3.24643,11507,8119,X,12811,3320,2479,38236,2571,1177786
National,X,2018,52,3.97127,4.19267,13586,10315,X,12026,4454,3523,43904,2545,1047161
National,X,2019,1,3.46125,3.63499,11675,11402,X,9557,5200,4260,42094,2609,1158023
National,X,2019,2,3.07707,3.14077,9344,10401,X,10744,4820,3443,38752,2629,1233836
National,X,2019,3,3.32915,3.36551,9668,10024,X,14248,4226,2943,41109,2633,1221478
National,X,2019,4,3.81999,3.89305,10728,11164,X,16925,4443,2853,46113,2614,1184495
National,X,2019,5,4.3419,4.5253,11606,13032,X,22188,5110,3251,55187,2639,1219521
National,X,2019,6,4.88288,5.21525,13828,15708,X,29688,6134,4084,69442,2644,1331519
National,X,2019,7,5.04211,5.43173,14224,15928,X,29223,6329,4274,69978,2628,1288318
National,X,2019,8,4.88596,5.2776,13612,15684,X,26456,6115,4478,66345,2623,1257106
National,X,2019,9,4.5499,4.59585,11622,13833,X,23450,5699,4131,58735,2634,1278001
National,X,2019,10,4.38001,4.40341,11146,13058,X,21736,5356,4052,55348,2614,1256934
National,X,2019,11,4.2288,4.13279,10975,12570,X,20065,5347,4176,53133,2622,1285646
National,X,2019,12,3.68449,3.56166,9559,10484,X,16537,4431,3775,44786,2596,1257449
National,X,2019,13,3.08744,3.05634,8621,8631,X,13608,3801,3183,37844,2587,1238213
National,X,2019,14,2.69971,2.68251,7591,7486,X,11757,3271,2800,32905,2597,1226648
National,X,2019,15,2.28549,2.26747,6739,6198,X,9988,2561,2317,27803,2542,1226170
National,X,2019,16,2.01443,1.96931,6319,4930,X,7894,2105,1874,23122,2517,1174114
National,X,2019,17,1.7141,1.72372,5689,4545,X,6617,1997,1735,20583,2490,1194101
National,X,2019,18,1.56927,1.57693,5362,4080,X,6203,1666,1537,18848,2459,1195232
National,X,2019,19,1.49991,1.46086,4785,3572,X,5903,1479,1357,17096,2415,1170273
National,X,2019,20,1.50211,1.50759,4614,3458,X,5488,1433,1356,16349,2302,1084443
National,X,2019,21,1.42357,1.40452,4597,3211,X,5227,1345,1367,15747,2205,1121166
National,X,2019,22,1.39457,1.40617,4437,3094,X,4659,1279,1301,14770,2179,1050372
National,X,2019,23,1.21776,1.23921,3930,2948,X,4110,1240,1205,13433,2235,1083994
National,X,2019,24,1.11351,1.10622,3350,2606,X,3607,1007,1048,11618,2139,1050239
National,X,2019,25,0.992293,1.01351,3046,2424,X,3282,998,928,10678,2141,1053569
National,X,2019,26,0.947072,0.959926,2940,2175,X,3106,906,859,9986,2063,1040288
National,X,2019,27,0.876088,0.873735,2433,1884,X,2676,788,768,8549,2111,978443
National,X,2019,28,0.809956,0.795831,2344,1882,X,2660,799,737,8422,2090,1058265
National,X,2019,29,0.755431,0.768849,2219,1861,X,2570,757,704,8111,2132,1054954
National,X,2019,30,0.73346,0.748185,2128,1800,X,2451,761,615,7755,2117,1036508
National,X,2019,31,0.72729,0.758451,2348,1829,X,2436,658,603,7874,2128,1038168
National,X,2019,32,0.754637,0.77011,2089,2041,X,2384,766,758,8038,2146,1043747
National,X,2019,33,0.730938,0.834825,2630,2047,X,2828,788,694,8987,2178,1076513
National,X,2019,34,0.840615,0.942052,2907,2210,X,3501,762,716,10096,2147,1071703
National,X,2019,35,0.989217,1.07895,3394,2539,X,4220,894,770,11817,2169,1095230
National,X,2019,36,1.14059,1.20634,3801,2924,X,4535,1030,868,13158,2189,1090741
National,X,2019,37,1.23272,1.2757,3905,3296,X,5499,1172,959,14831,2221,1162580
National,X,2019,38,1.24529,1.39156,4463,3567,X,5673,1249,1025,15977,2198,1148137
National,X,2019,39,1.33771,1.49698,4970,3875,X,6104,1365,1100,17414,2180,1163278
